2026-02-02 20:17:39 | INFO | __main__ | [MAIN] Inicio del proceso
2026-02-02 20:17:39 | INFO | __main__ | [MAIN] Iniciando fetch base EL UNIVERSAL
2026-02-02 20:17:39 | INFO | adquisicion.fuentes.el_universal | [EL_UNIVERSAL] Iniciando recolección inicial
2026-02-02 20:17:40 | INFO | adquisicion.fuentes.el_universal | [EL_UNIVERSAL] Batch 1/12 completado (25 noticias)
2026-02-02 20:17:44 | INFO | adquisicion.fuentes.el_universal | [EL_UNIVERSAL] Batch 2/12 completado (25 noticias)
2026-02-02 20:17:46 | INFO | adquisicion.fuentes.el_universal | [EL_UNIVERSAL] Batch 3/12 completado (25 noticias)
2026-02-02 20:17:48 | INFO | adquisicion.fuentes.el_universal | [EL_UNIVERSAL] Batch 4/12 completado (25 noticias)
2026-02-02 20:17:51 | INFO | adquisicion.fuentes.el_universal | [EL_UNIVERSAL] Batch 5/12 completado (25 noticias)
2026-02-02 20:17:56 | INFO | adquisicion.fuentes.el_universal | [EL_UNIVERSAL] Batch 6/12 completado (25 noticias)
2026-02-02 20:17:59 | INFO | adquisicion.fuentes.el_universal | [EL_UNIVERSAL] Batch 7/12 completado (25 noticias)
2026-02-02 20:18:03 | INFO | adquisicion.fuentes.el_universal | [EL_UNIVERSAL] Batch 8/12 completado (25 noticias)
2026-02-02 20:18:06 | INFO | adquisicion.fuentes.el_universal | [EL_UNIVERSAL] Batch 9/12 completado (25 noticias)
2026-02-02 20:18:09 | INFO | adquisicion.fuentes.el_universal | [EL_UNIVERSAL] Batch 10/12 completado (25 noticias)
2026-02-02 20:18:12 | INFO | adquisicion.fuentes.el_universal | [EL_UNIVERSAL] Batch 11/12 completado (25 noticias)
2026-02-02 20:18:15 | INFO | adquisicion.fuentes.el_universal | [EL_UNIVERSAL] Batch 12/12 completado (25 noticias)
2026-02-02 20:18:16 | INFO | adquisicion.fuentes.el_universal | [EL_UNIVERSAL] Total noticias obtenidas: 300
2026-02-02 20:18:16 | INFO | __main__ | [MAIN] EL UNIVERSAL - Almacenadas (300 noticias)
2026-02-02 20:18:16 | INFO | __main__ | [MAIN] Iniciando fetch base EL PAÍS
2026-02-02 20:18:16 | INFO | adquisicion.fuentes.el_pais | [EL_PAIS] Iniciando recolección inicial
2026-02-02 20:18:16 | INFO | adquisicion.fuentes.el_pais | [EL_PAIS] Bloque 1/11 iniciado
2026-02-02 20:18:34 | INFO | adquisicion.fuentes.el_pais | [EL_PAIS] Bloque 1/11 completado (69 artículos)
2026-02-02 20:18:34 | INFO | adquisicion.fuentes.el_pais | [EL_PAIS] Bloque 2/11 iniciado
2026-02-02 20:18:50 | INFO | adquisicion.fuentes.el_pais | [EL_PAIS] Bloque 2/11 completado (33 artículos)
2026-02-02 20:18:50 | INFO | adquisicion.fuentes.el_pais | [EL_PAIS] Bloque 3/11 iniciado
2026-02-02 20:19:07 | INFO | adquisicion.fuentes.el_pais | [EL_PAIS] Bloque 3/11 completado (61 artículos)
2026-02-02 20:19:07 | INFO | adquisicion.fuentes.el_pais | [EL_PAIS] Bloque 4/11 iniciado
2026-02-02 20:19:27 | INFO | adquisicion.fuentes.el_pais | [EL_PAIS] Bloque 4/11 completado (77 artículos)
2026-02-02 20:19:27 | INFO | adquisicion.fuentes.el_pais | [EL_PAIS] Bloque 5/11 iniciado
2026-02-02 20:19:45 | INFO | adquisicion.fuentes.el_pais | [EL_PAIS] Bloque 5/11 completado (72 artículos)
2026-02-02 20:19:45 | INFO | adquisicion.fuentes.el_pais | [EL_PAIS] Bloque 6/11 iniciado
2026-02-02 20:20:02 | INFO | adquisicion.fuentes.el_pais | [EL_PAIS] Bloque 6/11 completado (52 artículos)
2026-02-02 20:20:02 | INFO | adquisicion.fuentes.el_pais | [EL_PAIS] Bloque 7/11 iniciado
2026-02-02 20:20:19 | INFO | adquisicion.fuentes.el_pais | [EL_PAIS] Bloque 7/11 completado (56 artículos)
2026-02-02 20:20:19 | INFO | adquisicion.fuentes.el_pais | [EL_PAIS] Bloque 8/11 iniciado
